timestamp,month,day,year,time,age,mar,sex,chi,cou,urb,edu,med,wor,sec,occ,foc,hom,iin,hin,srh,dan,gov,hyg,cre,int,anc,sto,chr,cov,n,sur1,sur2,sur3,sur4,sur5,sur6,sur7,sur8,sur9,sur10,sur11,sur12,sur13,sur14,sur15,sur16,sur17,sur18,sur19,sur20,sur21,sur22,sur23,sur24,sur25,sur26,sur27,sur28,sur29,sur30
4/13/2020 14:35:11,4,13,2020,14:35:11,21,Single,Man,I have no children.,İSTANBUL,Urban,Graduate,Middle School,Student,Service,"Staff working in office services (Clerks, Customer Service Officers, Digital and Material Registrars, etc)","Skilled agricultural, forestry and aquaculture workers",Partially,0 - 1500,0 - 1500,Good,"Yes, I think","No, I don't think",Increased,Increased,Increased,No,No,Yes,No,,Moderate,Low,None,None,Low,Low,Low,None,Low,None,Low,None,None,None,Low,Low,None,None,Low,Low,A little,Moderately,Moderately,A little,A little,A little,Moderately,Moderately,A little,Very slightly or not at all
4/13/2020 14:56:17,4,13,2020,14:56:17,56,Divorced,Man,I have a child/children aged 19 and over.,ANTALYA,Urban,High school,None,Full-time employee,Service,"Executives (Senior Officials and Legislators, Administrative and Commercial Executives, etc)","Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)",Partially,3000 - 6000,3000 - 6000,Very good,I definitely think so,"Yes, I think",Increased a lot,Decreased,Decreased,Yes,Yes,Yes,No,,Low,Low,None,None,Low,Low,Moderate,Low,Moderate,Low,Low,None,None,None,None,Moderate,None,Low,Low,Moderate,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,Extremely,Extremely,Extremely,Quite a bit
4/13/2020 14:57:02,4,13,2020,14:57:02,25,Single,Man,I have no children.,İSTANBUL,Urban,Graduate,Two-year degree or equivalent,Full-time employee,Other,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Yes,1500 - 3000,1500 - 3000,Good,"Yes, I think","Yes, I think",Increased,Decreased a lot,Increased,Yes,Yes,No,No,,Moderate,Low,None,None,Low,None,Low,None,Low,Low,Low,Low,Low,None,Low,Low,Low,None,Low,Low,Moderately,Quite a bit,Very slightly or not at all,Moderately,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all
4/13/2020 15:00:06,4,13,2020,15:00:06,31,Single,Female,I have no children.,ANKARA,Urban,"Postgraduate Education (Master's, Doctorate)",High school,Full-time employee,Service,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Executives (Senior Officials and Legislators, Administrative and Commercial Executives, etc)",Yes,3000 - 6000,3000 - 6000,Very good,"Yes, I think",I don't know; I'm uncertain,Increased,Same,Same,Yes,Yes,Yes,No,,Moderate,Low,None,None,Low,Low,None,Low,None,Low,Moderate,None,None,None,Low,Low,Low,None,None,Moderate,A little,Very slightly or not at all,Moderately,Quite a bit,A little,Moderately,A little,A little,A little,A little
4/13/2020 15:00:18,4,13,2020,15:00:18,37,Single,Man,I have no children.,ANKARA,Urban,Graduate,Two-year degree or equivalent,On unpaid leave after the Covid-19 crisis,Service,"Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",Partially,1500 - 3000,3000 - 6000,Neither good nor bad,"Yes, I think",I definitely don't think so,Increased,Decreased,Decreased,Yes,Yes,No,No,,Low,None,Low,None,None,Low,Moderate,Low,High,Low,High,Moderate,Low,Moderate,Low,None,High,Moderate,None,Low,A little,Moderately,A little,Moderately,Quite a bit,Quite a bit,Quite a bit,Moderately,Quite a bit,Moderately
4/13/2020 15:01:30,4,13,2020,15:01:30,22,Single,Man,I have no children.,İZMİR,Urban,Graduate,Graduate,Student,Education,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Executives (Senior Officials and Legislators, Administrative and Commercial Executives, etc)",Partially,3000 - 6000,6000 - 12000,Good,I definitely think so,"No, I don't think",Increased a lot,Decreased a lot,Increased a lot,Yes,No,No,No,,Moderate,Low,None,None,Moderate,Moderate,High,Moderate,Low,Moderate,Moderate,None,None,None,High,Low,Moderate,None,Low,Moderate,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Moderately,A little,A little,Quite a bit
4/13/2020 15:01:40,4,13,2020,15:01:40,20,Single,Female,I have no children.,BALIKESİR,Urban,Graduate,Primary school,Student,Education,"Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)","Skilled agricultural, forestry and aquaculture workers",Yes,3000 - 6000,3000 - 6000,Good,I definitely think so,I don't know; I'm uncertain,Increased,Decreased a lot,Increased,Yes,Yes,Yes,No,,Low,Low,Low,None,Moderate,None,Low,Low,Low,Moderate,Moderate,Low,Low,None,Low,Moderate,Low,None,Low,Moderate,A little,Very slightly or not at all,Moderately,A little,Moderately,Very slightly or not at all,A little,A little,A little,A little
4/13/2020 15:03:14,4,13,2020,15:03:14,32,Single,Man,I have no children.,ANTALYA,Urban,Graduate,Two-year degree or equivalent,Full-time employee,Service,"Executives (Senior Officials and Legislators, Administrative and Commercial Executives, etc)","Occupations related to the armed forces (Ranked Armed Forces Personnel, Police Force Members, Other Law Enforcement Personnel)",Partially,3000 - 6000,6000 - 12000,Very good,"No, I don't think",I definitely don't think so,Increased,Same,Increased,Yes,Yes,Yes,No,,High,Low,Moderate,None,Low,Moderate,Low,Low,Low,Moderate,High,Moderate,High,High,Low,Moderate,Low,None,None,Moderate,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,A little,A little,Moderately
4/13/2020 15:09:51,4,13,2020,15:09:51,22,Single,Female,I have no children.,İSTANBUL,Urban,Graduate,Graduate,Part-time employee,Service,"Service and sales staff (Personal Service Worker, Sales and Personal Care Worker, Protection Services Worker, etc)","Professionals (Science, Engineering, Health, Technology, Law, Social and Cultural Professionals, Teachers and Faculty Members, Business and Management Specialist)",No,3000 - 6000,6000 - 12000,Very good,I definitely think so,I definitely don't think so,Increased a lot,Decreased a lot,Increased,Yes,Yes,No,No,,Low,High,None,None,Low,None,High,High,Low,Moderate,High,None,None,None,Low,Low,Low,None,None,Low,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Extremely,Extremely,Extremely,Very slightly or not at all
4/13/2020 15:11:09,4,13,2020,15:11:09,37,Single,Female,I have no children.,İSTANBUL,Urban,Graduate,High school,Self-employed,Other,"Non-qualified occupations (Cleaners and Helpers, Agricultural, Forestry and Fisheries Workers, Mining, Construction, Manufacturing and Transport Workers, Food Preparation Assistants, etc)","Craftsmen and related workers (Construction and Related Workers, Metal, Machinery and Related Trade Workers, Handicrafts and Printing Workers, Electrical and Electronic Trade Workers, etc)",Partially,3000 - 6000,6000 - 12000,Very good,I definitely think so,"No, I don't think",Increased,Increased,Decreased a lot,Yes,Yes,No,No,,Moderate,Low,None,Low,Low,Low,Moderate,Low,Low,Low,Moderate,None,None,None,Low,Moderate,Low,None,Low,Moderate,Moderately,A little,Moderately,Moderately,Quite a bit,A little,Moderately,A little,Moderately,A little
